1000 589
248 6 G
55 12 M
906 14 G
481 5 M
1369 12 G
418 4 W
53 9 M
914 7 M
1309 8 W
70 8 M
366 3 M
750 10 M
1370 6 W
450 10 M
520 9 W
1327 2 W
1368 14 M
1362 14 M
755 10 M
1234 15 G
1341 7 M
270 10 M
398 13 W
1101 3 M
385 12 M
127 6 M
257 7 G
1116 9 G
1008 1 W
596 13 M
986 10 M
732 5 M
1387 1 G
893 15 M
94 15 G
1095 2 G
530 15 M
532 11 G
866 5 M
211 14 G
563 10 G
257 14 W
266 7 W
740 3 M
1207 15 W
756 12 M
142 7 G
1112 14 G
41 3 G
491 11 G
618 13 W
623 2 M
574 14 G
466 12 W
305 1 G
923 13 W
651 13 G
1164 15 W
929 8 G
820 9 W
482 11 M
471 11 W
1157 11 G
157 8 W
38 7 G
1188 15 M
768 13 M
632 14 M
369 9 G
441 9 M
303 13 M
640 4 M
483 10 M
775 5 M
192 7 W
222 5 G
136 10 M
1395 6 W
548 13 W
759 1 G
1332 5 W
653 15 W
222 4 M
61 15 W
